FSC.H,SSC.H,FL1.H,FL2.H,FL3.H,FL1.A,FL1.W,Time
500,165,486,34,297,14,0,326
346,405,276,150,307,0,0,326
167,114,155,1,193,0,0,326
321,342,242,121,156,0,0,326
273,241,247,149,265,0,0,326
312,222,252,191,189,0,0,326
382,490,279,129,281,0,0,326
273,196,191,107,161,0,0,326
156,111,682,174,247,107,16,326
313,155,236,165,218,0,0,326
78,107,116,105,72,0,0,326
422,283,219,129,175,0,0,326
253,137,737,113,350,173,40,326
313,290,211,112,189,0,0,334
550,651,397,285,716,3,0,334
360,205,204,75,327,0,0,334
295,252,258,70,296,0,0,334
356,390,254,141,159,0,0,334
264,112,808,190,271,329,47,334
183,191,209,49,176,0,0,334
281,128,801,164,306,309,44,334
210,127,269,142,303,0,0,334
290,318,265,53,298,0,0,334
177,98,133,25,189,0,0,334
290,352,257,183,233,0,0,334
221,180,207,168,76,0,0,334
308,214,237,82,329,0,0,334
411,222,889,254,569,722,67,334
350,304,285,200,240,0,0,346
412,386,262,168,282,0,0,346
1023,1023,917,325,1023,1023,298,346
279,376,244,182,193,0,0,346
597,596,849,372,955,472,55,346
194,109,189,60,162,0,0,346
301,349,310,230,152,0,0,346
181,109,205,107,206,0,0,346
310,173,613,127,348,53,0,346
224,185,214,90,215,0,0,346
303,395,237,163,109,0,0,346
162,209,224,125,211,0,0,346
182,88,171,45,151,0,0,346
84,45,164,0,173,0,0,346
203,183,198,70,213,0,0,346
298,272,263,159,227,0,0,350
298,1023,233,237,57,0,0,350
319,360,317,229,405,0,0,350
1023,1023,963,316,1023,1023,295,350
257,93,493,88,172,16,0,350
233,183,580,151,301,38,0,350
121,117,241,148,169,0,0,350
166,187,153,28,110,0,0,350
117,74,208,119,176,0,0,350
909,609,887,312,853,760,203,350
232,180,243,115,216,0,0,350
276,158,232,99,211,0,0,350
190,145,238,104,250,0,0,350
103,88,162,22,152,0,0,350
187,144,638,68,360,70,6,350
232,302,218,99,171,0,0,356
172,177,630,50,168,64,0,356
187,160,675,215,291,101,14,356
88,53,198,0,247,0,0,356
268,140,241,79,406,0,0,356
219,184,239,64,303,0,0,356
217,163,222,84,191,0,0,356
191,109,145,20,171,0,0,356
692,674,724,176,770,159,50,356
277,177,216,120,191,0,0,356
276,235,251,65,246,0,0,356
264,85,765,163,261,220,38,356
680,388,902,231,844,926,268,356
262,267,233,170,174,0,0,356
441,822,466,544,386,10,0,356
353,498,297,239,203,0,0,363
75,50,172,51,107,0,0,363
112,87,214,39,174,0,0,363
269,282,222,104,267,0,0,363
298,277,241,158,171,0,0,363
349,360,268,141,219,0,0,363
699,530,864,218,688,575,81,363
327,395,277,146,329,0,0,363
114,65,197,102,196,0,0,363
188,160,524,112,210,21,0,363
68,66,263,26,3,0,0,363
255,241,254,184,221,0,0,363
357,396,300,200,452,0,0,363
136,114,171,100,79,0,0,363
706,345,471,156,520,13,0,363
171,127,178,0,127,0,0,368
465,327,596,120,343,45,0,368
482,430,290,192,336,0,0,368
465,421,358,258,431,1,0,368
618,286,881,288,547,706,129,368
610,680,347,255,383,1,0,368
383,260,358,253,545,3,0,368
323,168,205,58,348,0,0,368
100,119,211,93,151,0,0,368
258,134,489,142,380,15,0,368
195,92,608,147,364,51,0,368
346,223,643,171,326,72,5,368
289,167,762,186,296,218,62,368
247,250,182,68,169,0,0,368
257,205,213,25,256,0,0,368
88,158,193,135,57,0,0,373
403,447,281,138,375,0,0,373
326,149,685,126,344,110,20,373
194,189,186,88,91,0,0,373
184,156,155,111,57,0,0,373
186,113,169,47,185,0,0,373
349,344,239,37,370,0,0,373
172,85,205,25,187,0,0,373
111,134,269,0,279,0,0,373
304,429,283,217,179,0,0,373
203,183,170,46,181,0,0,373
147,168,247,118,188,0,0,373
185,109,208,57,190,0,0,373
157,156,514,84,49,20,0,373
230,381,206,96,71,0,0,373
105,108,211,103,96,0,0,379
295,118,696,128,385,122,22,379
169,123,221,70,265,0,0,379
215,247,187,160,82,0,0,379
240,325,257,226,99,0,0,379
333,378,266,192,177,0,0,379
331,303,233,122,137,0,0,379
1023,216,658,263,1023,108,200,379
372,451,313,214,273,0,0,379
94,85,180,28,164,0,0,379
155,165,133,0,176,0,0,379
232,168,167,22,158,0,0,379
336,370,264,170,172,0,0,379
456,536,324,205,539,0,0,379
368,382,287,199,391,0,0,379
388,1023,622,558,380,62,40,385
169,125,723,150,338,153,26,385
183,311,246,198,77,0,0,385
186,114,189,116,121,0,0,385
106,111,158,98,78,0,0,385
159,81,207,115,201,0,0,385
268,440,259,188,63,0,0,385
236,82,828,237,334,400,53,385
186,152,145,52,148,0,0,385
473,402,249,65,380,0,0,385
188,129,535,0,175,25,0,385
297,285,240,179,131,0,0,385
623,272,835,192,470,443,114,385
129,169,170,59,55,0,0,385
334,441,289,148,354,0,0,385
234,171,203,44,173,0,0,390
156,258,322,96,15,0,0,390
132,153,151,148,52,0,0,390
172,118,195,0,170,0,0,390
270,207,219,153,143,0,0,390
207,83,202,101,204,0,0,390
819,582,910,311,1023,1023,320,390
228,139,182,54,179,0,0,390
281,238,230,180,139,0,0,390
180,152,700,26,173,125,26,390
222,108,590,149,184,43,0,390
844,406,856,253,764,530,59,390
266,150,263,153,202,0,0,390
338,1023,335,308,72,0,0,390
241,224,229,174,162,0,0,390
286,222,152,35,161,0,0,398
906,530,811,332,711,326,59,398
294,359,278,224,242,0,0,398
542,541,342,249,489,0,0,398
113,75,161,25,194,0,0,398
182,143,208,47,198,0,0,398
177,122,156,71,197,0,0,398
68,41,122,15,141,0,0,398
337,147,229,68,335,0,0,398
308,368,280,191,221,0,0,398
486,225,848,200,483,506,111,398
191,151,217,47,246,0,0,398
365,511,355,308,292,0,0,398
251,177,259,168,152,0,0,398
231,118,793,252,283,284,47,398
202,226,222,153,69,0,0,404
248,203,197,111,119,0,0,404
248,232,247,184,98,0,0,404
110,84,142,88,92,0,0,404
136,70,429,0,198,6,0,404
804,222,829,310,697,428,157,404
306,194,562,47,387,32,0,404
262,177,173,28,145,0,0,404
351,179,656,87,396,83,12,404
189,119,209,97,193,0,0,404
250,194,209,40,189,0,0,404
292,301,248,109,288,0,0,404
290,147,768,229,273,227,39,404
268,119,153,0,186,0,0,404
115,75,138,95,61,0,0,404
139,60,224,0,310,0,0,411
269,251,277,216,231,0,0,411
169,90,139,0,204,0,0,411
207,152,221,106,196,0,0,411
522,470,287,155,268,0,0,411
224,169,147,67,178,0,0,411
244,177,200,36,198,0,0,411
156,83,777,230,254,245,42,411
278,311,257,114,232,0,0,411
195,136,246,104,333,0,0,411
103,139,130,0,93,0,0,411
427,361,308,212,277,0,0,411
200,163,141,0,186,0,0,411
104,53,100,0,190,0,0,411
462,461,620,125,201,58,0,411
94,111,162,87,144,0,0,419
187,248,293,226,207,0,0,419
539,882,396,268,831,3,0,419
83,53,172,0,151,0,0,419
98,129,96,92,14,0,0,419
193,104,244,162,211,0,0,419
249,237,229,121,170,0,0,419
670,445,856,257,710,532,63,419
158,95,148,26,140,0,0,419
154,98,216,58,217,0,0,419
115,111,219,106,156,0,0,419
295,118,776,237,274,243,43,419
270,117,786,245,279,267,43,419
249,230,191,49,171,0,0,419
337,205,441,0,216,7,0,419
92,96,172,82,99,0,0,428
649,220,870,196,731,697,267,428
206,129,235,183,204,0,0,428
343,424,300,246,215,0,0,428
245,203,184,2,169,0,0,428
128,50,162,0,206,0,0,428
219,133,225,96,154,0,0,428
134,103,156,89,72,0,0,428
224,222,215,135,190,0,0,428
245,324,231,190,100,0,0,428
282,348,216,121,163,0,0,428
283,257,261,147,327,0,0,428
363,365,271,196,288,0,0,428
970,266,604,374,381,74,277,428
143,109,136,110,79,0,0,428
206,168,188,33,168,0,0,434
158,165,180,71,61,0,0,434
177,80,174,6,157,0,0,434
199,254,605,113,259,50,0,434
256,183,436,47,289,7,0,434
68,113,318,36,97,0,0,434
294,169,206,96,176,0,0,434
114,116,175,108,118,0,0,434
263,305,140,60,124,0,0,434
226,73,128,0,312,0,0,434
496,698,365,321,319,1,0,434
287,160,202,52,213,0,0,434
479,663,331,288,216,0,0,434
278,215,257,186,182,0,0,434
598,364,786,262,502,258,46,434
753,406,879,265,800,693,153,437
231,139,194,53,196,0,0,437
734,872,755,126,983,258,261,437
255,195,214,25,210,0,0,437
301,328,252,107,269,0,0,437
334,257,216,141,187,0,0,437
317,398,281,245,154,0,0,437
89,615,0,182,12,0,0,437
250,188,211,88,230,0,0,437
213,188,211,156,63,0,0,437
113,59,187,115,170,0,0,437
163,139,208,86,168,0,0,437
120,105,201,88,118,0,0,437
474,223,859,259,482,554,192,437
616,257,328,123,486,0,0,437
138,187,271,217,161,0,0,444
214,191,231,103,207,0,0,444
419,461,301,201,309,0,0,444
275,193,156,33,285,0,0,444
221,144,677,151,202,102,18,444
208,88,724,135,389,156,27,444
246,114,809,185,288,334,49,444
932,445,857,274,815,526,78,444
351,190,220,49,264,0,0,444
92,119,252,93,237,0,0,444
121,273,262,225,32,0,0,444
126,185,514,105,105,20,0,444
173,134,118,4,151,0,0,444
106,88,202,104,153,0,0,444
446,188,822,275,429,379,60,444
87,155,246,218,23,0,0,451
432,349,598,87,344,47,0,451
108,66,196,68,154,0,0,451
283,192,701,191,252,126,29,451
558,203,798,267,407,309,107,451
219,214,220,156,84,0,0,451
325,293,233,128,214,0,0,451
211,200,226,176,83,0,0,451
344,370,272,167,206,0,0,451
326,380,411,187,105,2,0,451
148,96,774,244,362,241,43,451
129,118,201,49,157,0,0,451
266,229,201,34,336,0,0,451
916,963,907,254,983,909,183,451
391,433,308,230,289,0,0,451
184,100,172,9,202,0,0,460
156,107,166,58,180,0,0,460
292,246,237,178,117,0,0,460
517,174,684,134,329,109,28,460
291,285,677,166,339,101,20,460
194,73,161,32,189,0,0,460
140,106,139,59,81,0,0,460
191,243,378,0,141,1,0,460
363,280,187,72,265,0,0,460
198,165,204,36,219,0,0,460
327,494,297,247,186,0,0,460
503,200,346,137,292,0,0,460
216,102,797,150,296,297,49,460
228,116,185,92,180,0,0,460
279,351,257,191,164,0,0,460
237,181,223,159,213,0,0,464
297,284,251,196,122,0,0,464
395,450,315,267,136,0,0,464
181,228,363,75,9,1,0,464
264,150,777,194,253,245,42,464
291,165,231,190,207,0,0,464
111,37,179,37,180,0,0,464
107,83,731,86,171,163,32,464
244,208,196,123,145,0,0,464
319,313,259,138,242,0,0,464
218,138,690,190,363,114,18,464
89,65,180,23,168,0,0,464
234,123,247,0,372,0,0,464
239,120,277,92,431,0,0,464
714,486,868,232,613,686,444,464
274,229,280,234,76,0,0,469
274,124,213,97,189,0,0,469
601,381,861,280,603,575,81,469
566,590,698,211,511,122,32,469
323,128,650,185,202,77,9,469
221,209,178,103,76,0,0,469
170,107,97,16,177,0,0,469
534,160,686,157,388,110,23,469
113,141,187,117,141,0,0,469
357,351,316,255,182,0,0,469
350,193,450,123,360,9,0,469
263,1023,305,252,38,0,0,469
317,180,300,65,341,0,0,469
105,156,360,116,54,1,0,469
355,433,297,258,140,0,0,469
370,390,303,200,299,0,0,474
300,367,249,195,111,0,0,474
450,790,314,261,91,0,0,474
340,330,282,120,426,0,0,474
336,306,252,105,350,0,0,474
251,269,234,112,137,0,0,474
181,174,198,123,142,0,0,474
376,125,741,223,307,178,38,474
169,189,213,113,232,0,0,474
240,147,193,0,173,0,0,474
93,118,146,55,93,0,0,474
448,453,307,193,244,0,0,474
131,131,728,162,171,182,39,474
260,273,240,96,147,0,0,474
186,208,172,51,105,0,0,474
292,136,794,236,298,288,44,478
166,200,197,99,74,0,0,478
245,99,252,152,190,0,0,478
193,114,109,0,191,0,0,478
149,130,228,23,239,0,0,478
229,190,372,7,123,1,0,478
455,485,322,209,388,0,0,478
99,157,185,102,124,0,0,478
324,309,234,176,114,0,0,478
293,173,595,94,329,45,0,478
186,181,153,0,218,0,0,478
313,324,231,125,179,0,0,478
256,182,273,195,242,0,0,478
300,186,204,0,345,0,0,478
372,418,295,268,170,0,0,478
313,221,280,149,458,0,0,484
274,354,233,173,172,0,0,484
882,519,853,201,830,637,327,484
254,350,185,54,117,0,0,484
166,133,244,15,272,0,0,484
125,67,214,0,195,0,0,484
220,171,218,74,219,0,0,484
112,124,658,32,177,89,9,484
817,707,873,293,708,869,408,484
563,955,403,322,627,4,0,484
273,112,134,23,189,0,0,484
315,286,274,116,243,0,0,484
413,317,644,85,316,74,6,484
199,116,155,75,190,0,0,484
202,183,194,60,128,0,0,484
196,157,164,77,94,0,0,494
62,114,80,26,86,0,0,494
661,289,858,174,620,586,179,494
283,312,279,208,154,0,0,494
471,491,333,192,561,0,0,494
404,209,747,234,367,190,48,494
258,220,146,43,183,0,0,494
92,97,144,74,81,0,0,494
615,283,800,200,548,294,51,494
224,207,257,162,126,0,0,494
135,102,227,123,130,0,0,494
207,205,140,0,166,0,0,494
69,88,115,0,56,0,0,494
183,106,555,81,341,30,0,494
314,185,248,73,356,0,0,494
208,172,197,49,127,0,0,498
311,384,272,108,316,0,0,498
638,832,334,308,249,0,0,498
109,159,209,119,154,0,0,498
131,94,196,105,112,0,0,498
114,111,186,33,111,0,0,498
1023,343,887,355,1023,991,305,498
249,234,224,127,147,0,0,498
280,250,306,249,260,0,0,498
288,221,170,0,342,0,0,498
277,91,242,10,338,0,0,498
268,238,217,0,295,0,0,498
232,247,243,105,154,0,0,498
172,221,202,112,44,0,0,498
651,466,755,231,691,206,57,498
825,917,837,133,1023,519,67,506
69,610,217,148,23,0,0,506
222,244,223,149,225,0,0,506
289,180,196,32,258,0,0,506
723,355,908,235,788,1002,299,506
345,350,304,221,310,0,0,506
237,191,209,129,170,0,0,506
180,152,176,4,220,0,0,506
464,353,847,203,591,583,228,506
502,170,573,145,348,36,0,506
580,285,851,316,520,508,69,506
759,581,854,238,655,515,59,506
158,111,624,118,210,60,0,506
403,479,268,195,164,0,0,506
233,209,171,61,220,0,0,506
262,365,245,149,98,0,0,511
244,121,520,51,135,21,0,511
219,212,145,0,169,0,0,511
270,187,205,86,256,0,0,511
85,87,181,17,140,0,0,511
920,481,869,251,834,654,188,511
405,173,805,229,368,320,49,511
247,234,210,0,229,0,0,511
85,139,222,124,108,0,0,511
220,167,651,116,262,78,6,511
125,83,164,0,158,0,0,511
498,433,723,197,613,153,32,511
820,354,880,253,748,783,250,511
476,435,646,114,291,76,7,511
459,223,692,226,457,123,58,511
293,330,171,61,58,0,0,515
126,96,209,120,129,0,0,515
145,164,369,18,13,1,0,515
290,169,222,37,339,0,0,515
254,92,200,55,206,0,0,515
144,120,802,166,502,323,63,515
751,218,693,248,549,145,211,515
487,217,877,307,575,662,93,515
207,268,233,120,161,0,0,515
166,98,169,35,129,0,0,515
152,115,190,0,282,0,0,515
906,1023,453,380,381,10,0,515
238,228,202,53,195,0,0,515
298,163,243,0,290,0,0,515
327,143,767,212,262,225,44,515
246,151,538,74,311,25,0,522
339,215,804,252,478,317,51,522
807,594,775,313,459,230,61,522
558,198,425,124,480,4,0,522
212,247,636,7,251,68,2,522
178,93,213,133,218,0,0,522
181,64,149,46,171,0,0,522
137,103,159,53,184,0,0,522
446,584,340,302,201,0,0,522
541,634,309,210,524,0,0,522
255,315,257,159,261,0,0,522
130,116,251,172,190,0,0,522
337,199,704,181,303,131,33,522
167,118,220,124,178,0,0,522
371,363,208,0,337,0,0,522
334,339,246,198,165,0,0,531
340,289,732,85,376,166,41,531
257,197,245,86,316,0,0,531
410,223,493,115,171,15,0,531
171,68,697,141,341,120,21,531
227,79,187,54,190,0,0,531
533,210,861,313,478,560,73,531
208,148,226,159,184,0,0,531
245,202,269,164,158,0,0,531
158,182,183,105,111,0,0,531
353,414,266,184,138,0,0,531
254,180,190,0,253,0,0,531
319,259,698,159,360,122,29,531
174,159,166,0,166,0,0,531
91,96,169,82,164,0,0,531
148,1023,411,366,103,4,0,537
206,169,697,180,336,122,21,537
95,65,174,38,149,0,0,537
386,414,557,152,198,30,0,537
779,461,882,295,651,694,163,537
279,194,218,134,131,0,0,537
455,736,342,301,167,0,0,537
371,308,246,66,379,0,0,537
501,873,382,327,310,3,0,537
165,366,617,128,190,56,0,537
292,230,216,162,155,0,0,537
97,118,135,91,47,0,0,537
278,372,258,169,151,0,0,537
128,86,208,54,180,0,0,537
384,383,254,136,277,0,0,537
294,443,286,201,113,0,0,545
210,338,314,134,45,0,0,545
153,119,157,38,113,0,0,545
340,185,822,202,414,396,88,545
171,113,177,80,187,0,0,545
228,118,806,201,278,325,52,545
290,361,210,153,140,0,0,545
338,302,305,183,456,0,0,545
143,125,621,108,265,59,0,545
235,151,612,0,386,53,0,545
130,115,165,142,44,0,0,545
271,302,248,197,154,0,0,545
76,58,0,0,3,0,0,545
459,271,841,193,598,603,329,545
394,210,837,205,533,442,62,545
214,203,206,82,173,0,0,550
81,115,133,0,181,0,0,550
345,276,230,111,260,0,0,550
444,262,764,178,375,219,41,550
213,261,187,74,158,0,0,550
144,146,202,108,169,0,0,550
99,46,172,87,169,0,0,550
347,453,317,246,262,0,0,550
297,350,275,194,105,0,0,550
336,156,799,189,289,302,47,550
332,331,242,199,124,0,0,550
204,222,555,74,287,30,0,550
239,211,205,125,265,0,0,550
154,61,83,0,140,0,0,550
494,605,334,252,351,0,0,550
261,239,197,56,327,0,0,557
386,443,305,247,209,0,0,557
412,140,250,81,377,0,0,557
285,221,237,166,193,0,0,557
187,234,199,111,107,0,0,557
414,203,821,250,337,378,54,557
154,170,201,86,118,0,0,557
359,291,211,30,258,0,0,557
303,340,275,214,133,0,0,557
160,114,199,46,176,0,0,557
309,252,709,146,373,137,34,557
1023,268,594,349,1023,49,0,557
338,167,605,174,336,50,0,557
322,335,583,147,206,39,0,557
190,159,201,95,117,0,0,557
286,149,195,98,158,0,0,562
161,113,237,95,177,0,0,562
148,92,237,28,209,0,0,562
82,97,147,33,199,0,0,562
466,519,311,220,350,0,0,562
275,246,199,107,148,0,0,562
279,266,236,115,222,0,0,562
195,215,226,74,176,0,0,562
187,133,560,139,259,31,0,562
88,89,131,21,135,0,0,562
139,90,205,23,174,0,0,562
347,169,240,142,184,0,0,562
333,241,750,217,363,194,45,562
367,301,274,154,329,0,0,562
281,239,681,104,293,105,30,562
250,262,243,141,151,0,0,571
308,337,281,186,197,0,0,571
376,134,688,218,345,114,27,571
222,156,185,0,232,0,0,571
116,105,91,37,73,0,0,571
210,126,683,222,355,107,20,571
126,73,207,67,152,0,0,571
275,286,241,188,160,0,0,571
159,89,280,231,57,0,0,571
317,418,253,197,103,0,0,571
209,211,301,211,408,0,0,571
237,321,206,55,308,0,0,571
200,184,169,27,188,0,0,571
289,328,265,182,291,0,0,571
734,317,847,228,661,485,61,571
246,241,220,112,163,0,0,576
527,216,801,159,480,309,61,576
97,96,179,81,165,0,0,576
250,83,217,91,195,0,0,576
143,155,101,0,190,0,0,576
134,113,158,35,155,0,0,576
60,58,187,0,2,0,0,576
196,141,214,66,189,0,0,576
152,45,119,0,186,0,0,576
263,220,235,106,229,0,0,576
306,208,574,63,280,36,0,576
312,371,483,189,101,14,0,576
241,300,190,105,150,0,0,576
237,264,250,178,214,0,0,576
275,150,571,113,180,35,0,576
273,243,237,78,238,0,0,581
346,502,255,104,286,0,0,581
318,304,246,149,217,0,0,581
595,836,880,260,873,742,236,581
197,210,743,219,358,182,50,581
362,223,870,204,544,749,260,581
296,182,249,2,319,0,0,581
173,115,156,66,180,0,0,581
149,67,680,159,220,106,17,581
426,472,337,248,391,1,0,581
212,201,235,189,129,0,0,581
198,168,197,84,123,0,0,581
243,256,244,155,148,0,0,581
205,133,666,51,325,91,9,581
196,124,203,126,164,0,0,581
219,193,215,133,152,0,0,586
397,657,385,305,376,3,0,586
196,135,281,126,243,0,0,586
193,174,154,111,83,0,0,586
181,98,208,20,210,0,0,586
378,171,686,123,325,112,22,586
725,290,717,118,490,146,43,586
261,307,551,164,152,28,0,586
135,81,150,0,203,0,0,586
136,90,241,150,166,0,0,586
201,157,175,21,196,0,0,586
265,193,224,113,193,0,0,586
436,172,763,184,444,217,45,586
107,114,158,84,92,0,0,586
245,79,810,237,299,339,52,586
160,201,201,103,134,0,0,591
107,58,244,98,327,0,0,591
429,429,291,219,247,0,0,591
121,1023,454,705,1023,11,0,591
245,182,203,147,170,0,0,591
476,286,273,117,355,0,0,591
243,225,446,139,203,7,0,591
337,422,187,147,111,0,0,591
71,115,109,99,53,0,0,591
303,152,228,109,262,0,0,591
272,192,210,105,205,0,0,591
196,235,228,202,64,0,0,591
212,249,176,94,132,0,0,591
126,151,214,77,190,0,0,591
222,195,646,109,377,77,14,591
112,75,170,94,213,0,0,593
418,456,297,271,210,0,0,593
183,92,148,0,192,0,0,593
310,292,256,187,227,0,0,593
229,155,177,85,162,0,0,593
185,124,177,0,188,0,0,593
254,216,186,129,102,0,0,593
133,209,420,167,98,3,0,593
287,345,249,177,56,0,0,593
349,345,257,160,176,0,0,593
194,153,215,89,129,0,0,593
323,594,383,187,106,1,0,593
307,112,801,211,301,309,58,593
299,219,234,125,259,0,0,593
330,255,265,175,258,0,0,593
328,350,265,81,282,0,0,598
457,241,654,123,353,81,15,598
118,111,129,98,62,0,0,598
227,353,243,192,136,0,0,598
173,218,231,76,28,0,0,598
330,582,311,267,143,0,0,598
207,227,207,162,66,0,0,598
130,117,212,112,210,0,0,598
68,169,15,0,9,0,0,598
464,424,328,216,358,0,0,598
340,460,249,23,363,0,0,598
124,149,445,129,83,9,0,598
678,327,274,196,259,0,0,598
722,443,871,218,714,675,279,598
277,1023,398,355,120,4,0,598
